,team,drives,Year,catchshootattempt,passes,potentialasst,pullupfgattempt,distance,speed,touches,elbowtouches,postups,painttouches
82,Philadelphia 76ers,50.7,2016,26.4,329.3,47.0,16.9,17.58,4.38,450.4,15.5,12.5,22.7
83,Phoenix Suns,34.7,2016,25.4,310.4,47.3,20.8,16.90,4.23,435.4,15.8,14.2,26.8
84,Portland Trail Blazers,37.7,2016,25.0,281.8,45.3,25.2,17.24,4.29,401.8,16.4,5.5,22.9
85,Sacramento Kings,40.4,2016,24.2,283.3,50.3,16.1,17.02,4.24,406.5,13.5,12.9,28.4
86,San Antonio Spurs,37.1,2016,25.5,328.6,46.0,20.9,17.23,4.31,444.1,17.6,22.4,26.1
87,Toronto Raptors,49.5,2016,22.4,303.4,38.9,20.2,16.77,4.18,420.9,9.4,8.3,21.4
88,Utah Jazz,45.5,2016,23.1,352.3,44.3,20.7,17.31,4.28,468.5,23.1,7.7,24.0
89,Washington Wizards,35.3,2016,27.9,294.7,50.1,21.4,17.06,4.25,414.8,14.9,10.5,25.1
90,Atlanta Hawks,40.6,2017,26.2,310.0,46.8,18.9,17.05,4.24,431.2,14.0,10.8,27.4
91,Boston Celtics,37.4,2017,29.4,324.6,49.2,18.6,16.79,4.19,442.4,9.8,12.0,22.9
92,Brooklyn Nets,46.3,2017,26.5,311.0,45.4,16.5,17.43,4.35,433.3,11.7,15.5,21.3
93,Charlotte Hornets,36.7,2017,26.1,291.2,47.8,24.4,17.45,4.34,408.1,13.5,8.5,20.9
94,Chicago Bulls,41.2,2017,24.5,304.5,45.2,22.9,17.01,4.24,424.0,13.5,14.7,27.0
95,Cleveland Cavaliers,34.1,2017,27.4,275.3,45.1,22.2,16.46,4.08,394.3,12.0,10.3,20.9
96,Dallas Mavericks,37.9,2017,28.7,296.8,44.4,24.2,16.77,4.18,410.8,11.0,11.9,16.3
97,Denver Nuggets,41.0,2017,25.2,296.3,47.5,18.5,16.79,4.19,419.4,12.2,12.4,27.5
98,Detroit Pistons,36.6,2017,22.9,278.5,43.0,27.6,17.22,4.29,397.9,11.3,12.2,25.3
99,Golden State Warriors,26.9,2017,29.4,317.7,56.3,20.9,17.03,4.24,440.1,17.7,14.9,30.0
100,Houston Rockets,43.2,2017,28.7,267.4,50.7,18.8,16.53,4.12,388.9,12.0,3.7,25.6
101,Indiana Pacers,36.7,2017,26.6,286.4,47.4,19.2,16.70,4.15,405.8,15.7,13.3,23.8
102,LA Clippers,32.1,2017,23.6,301.7,43.2,26.0,16.34,4.08,419.9,11.5,11.7,21.7
103,Los Angeles Lakers,36.8,2017,21.1,288.4,42.7,24.2,17.19,4.30,409.3,14.6,10.4,26.8
104,Memphis Grizzlies,31.6,2017,26.5,303.3,46.4,17.5,16.55,4.10,422.1,18.2,21.0,24.5
105,Miami Heat,49.4,2017,27.4,283.4,45.9,18.1,17.14,4.27,401.9,12.0,9.9,24.3
106,Milwaukee Bucks,41.8,2017,24.7,289.0,47.5,14.5,16.78,4.19,403.9,19.9,13.5,26.4
107,Minnesota Timberwolves,34.7,2017,22.3,285.4,45.4,20.7,16.93,4.21,405.4,13.2,19.0,26.9
108,New Orleans Pelicans,39.8,2017,25.9,298.4,46.2,21.3,17.09,4.23,418.6,13.0,11.4,20.3
109,New York Knicks,32.2,2017,26.7,326.6,47.2,24.8,17.16,4.26,447.7,18.7,14.4,25.8
110,Oklahoma City Thunder,37.3,2017,23.6,255.3,45.7,20.2,17.02,4.24,379.6,15.0,17.1,30.0
111,Orlando Magic,37.2,2017,28.5,295.9,49.3,19.8,16.97,4.23,414.9,13.1,14.2,23.6
112,Philadelphia 76ers,47.4,2017,27.8,352.4,49.4,17.2,17.93,4.46,474.9,17.6,13.4,25.8
113,Phoenix Suns,41.9,2017,21.3,297.7,43.4,25.0,17.05,4.25,422.7,13.7,10.1,25.9
114,Portland Trail Blazers,38.3,2017,23.9,277.4,44.1,24.3,17.29,4.28,397.0,13.3,7.2,23.0
115,Sacramento Kings,36.7,2017,23.9,317.6,46.2,19.5,16.92,4.20,437.1,21.9,16.4,25.6
116,San Antonio Spurs,39.6,2017,27.1,316.3,45.2,21.4,17.41,4.34,434.0,15.9,18.3,22.9
117,Toronto Raptors,46.5,2017,23.4,273.4,39.2,22.2,16.92,4.22,392.1,9.0,7.9,21.9
118,Utah Jazz,44.9,2017,22.6,314.9,42.6,21.3,16.89,4.22,429.2,15.2,10.2,25.4
119,Washington Wizards,37.1,2017,25.6,265.4,46.4,22.3,16.70,4.15,386.2,14.7,9.5,23.8
120,Atlanta Hawks,47.9,2018,27.1,328.7,46.2,19.8,17.60,4.41,449.7,15.6,2.2,21.0
121,Boston Celtics,38.0,2018,25.5,304.0,42.7,21.1,17.07,4.25,422.5,11.6,13.1,21.0
122,Brooklyn Nets,49.9,2018,27.6,327.6,47.7,18.6,17.40,4.32,449.0,10.3,7.0,21.9
123,Charlotte Hornets,37.2,2018,22.9,281.5,42.0,26.2,17.43,4.35,402.4,10.5,13.0,21.9
124,Chicago Bulls,41.9,2018,26.5,302.3,46.0,23.3,17.96,4.47,422.4,12.5,10.8,21.2
125,Cleveland Cavaliers,33.7,2018,25.8,273.3,44.0,21.5,16.85,4.21,392.8,8.9,11.8,21.5
126,Dallas Mavericks,42.0,2018,27.5,304.0,43.2,25.0,17.22,4.29,420.8,12.7,10.6,19.6
127,Denver Nuggets,41.8,2018,24.7,304.2,44.2,18.8,16.90,4.25,424.8,10.0,14.0,24.9
128,Detroit Pistons,43.7,2018,25.6,299.0,44.5,21.8,17.69,4.42,419.1,14.3,7.8,23.1
129,Golden State Warriors,23.9,2018,26.5,322.7,50.9,24.3,17.07,4.29,443.4,16.0,16.7,26.7
130,Houston Rockets,41.9,2018,26.0,254.3,43.6,23.6,16.10,4.02,373.5,10.3,5.1,20.7
131,Indiana Pacers,38.5,2018,24.8,298.0,43.1,22.9,17.42,4.36,416.8,13.5,10.2,19.8
132,LA Clippers,43.9,2018,18.5,295.9,39.3,21.2,16.98,4.25,418.3,9.2,9.3,24.7
133,Los Angeles Lakers,40.7,2018,25.0,282.1,45.5,18.5,17.45,4.38,405.4,13.0,13.6,23.6
134,Memphis Grizzlies,41.1,2018,25.2,322.3,42.9,18.6,16.88,4.24,440.9,17.3,12.7,22.9
135,Miami Heat,47.5,2018,28.8,304.7,47.5,17.3,17.57,4.34,425.6,14.4,9.9,21.5
136,Milwaukee Bucks,44.2,2018,22.1,284.6,42.8,21.8,16.96,4.24,401.6,15.3,7.5,22.5
137,Minnesota Timberwolves,41.2,2018,21.1,286.7,41.2,23.7,16.68,4.15,406.1,12.0,14.9,23.7
138,New Orleans Pelicans,42.6,2018,25.1,305.9,47.1,20.2,17.10,4.24,430.6,12.0,12.8,24.5
139,New York Knicks,34.0,2018,23.8,320.1,45.2,23.0,17.47,4.36,441.7,17.1,16.2,23.9
140,Oklahoma City Thunder,39.3,2018,24.8,254.0,43.1,24.6,16.77,4.16,377.0,11.9,8.6,25.7
141,Orlando Magic,47.1,2018,27.6,292.3,46.3,18.4,17.23,4.34,411.2,13.5,9.8,21.9
142,Philadelphia 76ers,39.7,2018,28.7,343.9,52.4,16.9,17.77,4.42,468.6,16.8,17.2,27.4
